employee_id,office_id
3698,2927
3699,2927
3700,2927
3701,2927
3702,2927
3703,2927
3704,2927
3705,2927
3706,2927
3707,2927
3708,2927
3709,2927
3710,2927
3711,2927
3712,2927
3713,2927
3698,2928
3700,2928
3701,2928
3703,2928
3707,2928
3714,2928
3715,2928
3705,2928
3706,2928
3716,2928
3717,2928
3718,2928
3710,2928
3711,2928
3712,2928
3713,2928
3698,2929
3700,2929
3701,2929
3707,2929
3719,2929
3705,2929
3703,2929
3706,2929
3709,2929
3718,2929
3720,2929
3716,2929
3721,2929
3722,2929
3710,2929
3711,2929
3712,2929
3723,2929
3713,2929
3698,2930
3700,2930
3701,2930
3703,2930
3707,2930
3724,2930
3705,2930
3706,2930
3718,2930
3716,2930
3725,2930
3726,2930
3727,2930
3710,2930
3728,2930
3711,2930
3712,2930
3729,2930
3730,2930
3713,2930
3698,2931
3703,2931
3700,2931
3731,2931
3705,2931
3732,2931
3706,2931
3733,2931
3718,2931
3707,2931
3734,2931
3735,2931
3736,2931
3737,2931
3701,2931
3738,2931
3739,2931
3740,2931
3710,2931
3741,2931
3742,2931
3711,2931
3712,2931
3721,2931
3743,2931
3713,2931
3744,2932
3698,2932
3745,2932
3700,2932
3701,2932
3746,2932
3747,2932
3748,2932
3749,2932
3707,2932
3703,2932
3705,2932
3718,2932
3706,2932
3750,2932
3751,2932
3710,2932
3752,2932
3711,2932
3712,2932
3753,2932
3732,2932
3754,2932
3755,2932
3756,2932
3757,2932
3758,2932
3759,2932
3713,2932
3703,2933
3698,2933
3700,2933
3701,2933
3760,2933
3761,2933
3707,2933
3705,2933
3706,2933
3762,2933
3718,2933
3763,2933
3716,2933
3764,2933
3765,2933
3766,2933
3767,2933
3710,2933
3711,2933
3712,2933
3768,2933
3769,2933
3713,2933
3703,2934
3770,2934
3771,2934
3741,2934
3700,2934
3732,2934
3772,2934
3773,2934
3774,2934
3775,2934
3776,2934
3777,2934
3705,2934
3706,2934
3718,2934
3778,2934
3779,2934
3780,2934
3781,2934
3707,2934
3710,2934
3742,2934
3711,2934
3712,2934
3701,2934
3755,2934
3735,2934
3759,2934
3738,2934
3782,2934
3698,2934
3783,2934
3784,2934
3785,2934
3713,2934
3703,2935
3698,2935
3773,2935
3786,2935
3700,2935
3701,2935
3787,2935
3709,2935
3788,2935
3742,2935
3789,2935
3757,2935
3790,2935
3707,2935
3791,2935
3705,2935
3706,2935
3718,2935
3792,2935
3732,2935
3793,2935
3737,2935
3735,2935
3794,2935
3741,2935
3710,2935
3795,2935
3711,2935
3796,2935
3712,2935
3797,2935
3798,2935
3799,2935
3745,2935
3800,2935
3713,2935
3698,2936
3700,2936
3701,2936
3801,2936
3707,2936
3784,2936
3703,2936
3705,2936
3802,2936
3718,2936
3706,2936
3710,2936
3711,2936
3712,2936
3803,2936
3804,2936
3713,2936
3756,2936
3698,2937
3703,2937
3700,2937
3709,2937
3701,2937
3805,2937
3806,2937
3705,2937
3807,2937
3706,2937
3707,2937
3718,2937
3808,2937
3710,2937
3711,2937
3712,2937
3713,2937
3703,2938
3698,2938
3700,2938
3701,2938
3809,2938
3707,2938
3705,2938
3718,2938
3706,2938
3709,2938
3810,2938
3710,2938
3711,2938
3712,2938
3713,2938
3703,2939
3698,2939
3811,2939
3793,2939
3790,2939
3771,2939
3700,2939
3701,2939
3776,2939
3721,2939
3770,2939
3705,2939
3812,2939
3813,2939
3814,2939
3706,2939
3733,2939
3707,2939
3718,2939
3815,2939
3713,2939
3816,2939
3784,2939
3710,2939
3711,2939
3712,2939
3786,2939
3817,2939
3767,2939
3745,2939
3818,2939
3803,2939
3698,2940
3703,2940
3700,2940
3701,2940
3707,2940
3819,2940
3705,2940
3718,2940
3820,2940
3706,2940
3709,2940
3710,2940
3711,2940
3712,2940
3713,2940
3703,2941
3698,2941
3700,2941
3701,2941
3705,2941
3817,2941
3821,2941
3706,2941
3707,2941
3822,2941
3718,2941
3710,2941
3711,2941
3712,2941
3823,2941
3757,2941
3713,2941
3698,2942
3700,2942
3701,2942
3824,2942
3707,2942
3705,2942
3703,2942
3718,2942
3825,2942
3706,2942
3826,2942
3710,2942
3711,2942
3712,2942
3827,2942
3713,2942
3778,2943
3703,2943
3803,2943
3698,2943
3767,2943
3700,2943
3701,2943
3828,2943
3709,2943
3705,2943
3742,2943
3829,2943
3707,2943
3706,2943
3811,2943
3718,2943
3757,2943
3777,2943
3710,2943
3741,2943
3711,2943
3712,2943
3787,2943
3830,2943
3735,2943
3790,2943
3745,2943
3750,2943
3793,2943
3713,2943
3698,2944
3831,2944
3700,2944
3701,2944
3703,2944
3705,2944
3832,2944
3833,2944
3706,2944
3718,2944
3707,2944
3834,2944
3709,2944
3710,2944
3711,2944
3712,2944
3835,2944
3836,2944
3837,2944
3713,2944
3698,2945
3703,2945
3838,2945
3700,2945
3701,2945
3737,2945
3839,2945
3736,2945
3803,2945
3790,2945
3707,2945
3840,2945
3705,2945
3711,2945
3718,2945
3841,2945
3706,2945
3842,2945
3710,2945
3712,2945
3843,2945
3713,2945
3698,2946
3700,2946
3701,2946
3707,2946
3844,2946
3705,2946
3703,2946
3718,2946
3831,2946
3706,2946
3709,2946
3845,2946
3710,2946
3711,2946
3712,2946
3846,2946
3713,2946
3741,2947
3698,2947
3703,2947
3700,2947
3701,2947
3847,2947
3811,2947
3771,2947
3705,2947
3848,2947
3706,2947
3786,2947
3713,2947
3707,2947
3718,2947
3737,2947
3710,2947
3849,2947
3711,2947
3712,2947
3787,2947
3793,2947
3783,2947
3703,2948
3698,2948
3700,2948
3701,2948
3705,2948
3850,2948
3851,2948
3757,2948
3706,2948
3707,2948
3718,2948
3753,2948
3790,2948
3773,2948
3739,2948
3710,2948
3711,2948
3712,2948
3750,2948
3852,2948
3713,2948
3703,2949
3698,2949
3732,2949
3700,2949
3735,2949
3750,2949
3792,2949
3822,2949
3745,2949
3707,2949
3705,2949
3706,2949
3718,2949
3733,2949
3771,2949
3737,2949
3796,2949
3853,2949
3713,2949
3757,2949
3790,2949
3854,2949
3773,2949
3710,2949
3701,2949
3855,2949
3803,2949
3711,2949
3783,2949
3712,2949
3698,2950
3703,2950
3700,2950
3701,2950
3705,2950
3856,2950
3857,2950
3706,2950
